"consecutivo","fecha_recepcion","folio_minutario","dependencia_nombre","folio_direccion","asunto","fecha_oficio_tics","numero_folio","anio_folio","realizo","fecha_acuse","estado_nombre","folio_interno_tesoreria","capturo","observaciones"
"1","2026-01-07","4","SUBDIRECCIÓN DE EGRESOS","SE/002/2026","RECUPERACIÓN DE INFORMACIÓN","2026-01-13","1","2026","MONICA","2026-01-13","Archivado","","MARINA",""
"2","2026-01-08","","COORDINACIÓN ADMINISTRATIVA DE TESORERÍA","CIRCULAR 001","SOLICITUD DE INFORMACIÓN","2026-01-13","","2026","PILY","2026-01-13","Archivado","","MARINA","Folio original no parseable: SDTICS/002/02/2026"
"3","2026-01-19","23","TESORERIA MUNICIPAL","SDI/CC/009/2026","SOLICITUD DE CORREO INSTITUCIONAL","2026-02-10","3","2026","MONICA","2026-02-10","Archivado","","PILAR",""
"4","2026-01-19","55","SUBDIRECCIÓN DE JURÍDICO DE LA TESORERÍA","TM/JT/050/2026","DICTAMENES","2026-01-30","2","2026","MONICA","2026-01-30","Archivado","","MARINA",""
"5","2026-01-28","44","TESORERIA MUNICIPAL","TM/ECA/TD/0547/01/2026","FORMATEO DE EQUIPO","2026-01-30","4","2026","MONICA","2026-01-30","Archivado","","PILAR",""
"6","2026-01-30","51","COORDINACIÓN ADMINISTRATIVA DE TESORERÍA","CIRCULAR 08","MODIFICACIÓN DE HORARIOS DE INCIDENCIAS",,"","2026","","2026-01-30","Archivado","","MARINA",""
"7","2026-02-05","55","SUBDIRECCIÓN DE JURÍDICO DE LA TESORERÍA","TM/JT/050/2026","DICTAMENES","2026-02-05","5","2026","MONICA","2026-02-06","Archivado","","MARINA",""
"8","2026-02-09","77","SUBDIRECCION DE EGRESOS","SE/025/2026","PUBLICAR Y ACTUALIZAREN LA PLATAFORMA OFICIAL DEL MUNICIPIO","2026-02-17","7","2026","MARINA","2026-02-18","Archivado","","PILI",""
"9","2026-02-11","82","COORDINACIÓN ADMINISTRATIVA DE TESORERÍA","CIRCULAR 009/2026","REMITIR MANUAL DE PROCEDIMIENTOS",,"","2026","",,"En Proceso","","",""
"10","2026-02-13","88","SUBDIRECCION DE PROGRAMAS FEDERALES","TM/ECA/SPFye/067/2026","PAGINA OFICIAL DEL H. AYUNTAMIENTO","2026-02-17","8","2026","MARINA","2026-02-18","Archivado","","PILI","Folio normalizado (agregado /ECA/): TM/STIYC/008/2026"
"11","2026-02-17","94","COORDINACIÓN ADMINISTRATIVA DE TESORERÍA","TM/ECA/CA/087/2026","MANUAL DE PROCEDIMIENTOS","2026-02-17","6","2026","ANALY","2026-02-17","Archivado","","ANY","Folio normalizado (agregado /ECA/): TM/STIYC/006/2026"
"12","2026-02-09","77","SUBDIRECCIÓN DE EGRESOS","SE/025/2026","PUBLICACIÓN DE INFORMACIÓN","2026-02-17","7","2026","MARINA","2026-02-17","En Proceso","","MARINA","Folio normalizado (agregado /ECA/): TM/STIYC/007/2026"
"13","2026-02-13","88","SUBDIRECCIÓN DE PROGRAMAS FEDERALES Y ESTATLES","TM/ECA/SPFyE/067/2026","PUBLICACIÓN DE INFORMACIÓN","2026-02-17","8","2026","MARINA","2026-02-17","En Proceso","","MARINA","Folio normalizado (agregado /ECA/): TM/STIyC/008/2026"
"14","2026-02-27","119","COORDINACIÓN ADMINISTRATIVA DE TESORERÍA","TM/ECA/CA/0121/2026","FORMATEO DE EQUIPO","2026-03-10","9","2026","MONICA","2026-03-11","Archivado","","PILI",""
"15","2026-03-02","123","CORDINADOR DE LAS OFICIALIAS DE REGISTRO CIVIL DEL H. AYUNTAMIENTO","REGCIVO1/084/2026","REVISAR INTERNET","2026-03-10","11","2026","MONICA","2026-03-13","Archivado","","PILI",""
"16","2026-03-12","150","COORDINACIÓN ADMINISTRATIVA DE TESORERÍA","TM/ECA/CA/148/2026","SOLICITUD DE INFORMACIÓN","2026-03-17","12","2026","","2026-03-17","Archivado","","MARINA","Folio normalizado (typo STyC -> STIyC): TM/STyC/012/2026"
"17","2026-03-17","160","COORDINACIÓN ADMINISTRATIVA DE TESORERÍA","CIRCULAR 14","ABSTENERSE DE UTILIZACIÓN DE ARTEFACTOS",,"","2026","","2026-03-17","Archivado","","MARINA",""
"18","2026-03-17","161","TESORERO MUNICIPAL","TM/ECA/JT/174/2026","PUBLICACIÓN DE INFORMACIÓN","2026-03-18","","2026","ANALY","2026-03-18","Archivado","","MARINA","Folio original no parseable: TM/ECA/STyC/013/2026"
"19","2026-03-31","194","TESORERIA MUNICIPAL","TM/ECA/CA/169/2026","GENERAR HIPERVINCULOS","2026-03-31","","2026","ANALY","2026-03-31","Archivado","","ANALY","Folio original no parseable: 14"
"20","2026-04-01","","COORDINACIÓN ADMINISTRATIVA DE TESORERÍA","CIRCULAR 15","ENTREGA DE PBRM","2026-04-01","","2026","ANALY","2026-04-01","Archivado","","MARINA","Folio original no parseable: 15"
"21","2026-03-09","205","DEPARTAMENTO DE CONTROL DE CAJAS Y RECEPTORÍAS EXTERNAS","CC/095/2026","INSTALACIÓN DE RED Y EQUIPOS PARA RECEPTORIA","2026-04-14","","2026","MONICA","2026-04-15","Archivado","","ANALY","Folio original no parseable: 16"
